,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,ucmd_clf
444925,0.969163212479637,0.633084125985227,0.383438825173701,0.426570970246502,0.048027340837067,0.827738279278157,0.355554720698096,0.752038058129236,True
54796,0.0800299971925038,0.725955075690186,0.641313124664392,0.807610021609522,0.537998473302049,0.903769084682674,0.551704152670675,0.189291849451767,True
736317,0.572043145874102,0.767231154586862,0.659781894784113,0.627963376560591,0.165297141960766,0.677369356066004,0.807341017180455,0.00761521341160236,True
581651,0.855863931676712,0.85109316679098,0.491605014406374,0.728978002519351,0.00587002921512462,0.318747855072736,0.105901333868969,0.849175161290992,True
754724,0.371710336861415,0.65073108846113,0.239768493362317,0.705732081506807,0.190221997642851,0.115872316121564,0.944435727655367,0.885026672577394,True
616846,0.933530262423924,0.940299592026347,0.556891199754674,0.440813002780085,0.0361206570637935,0.0344773439636908,0.999937551456338,0.519369552209333,True
148909,0.470071196512642,0.660291986207346,0.664285254217765,0.531113761811952,0.522318941809691,0.643020158652807,0.375889815663675,0.693108089902656,True
656445,0.464582353040044,0.596486814808458,0.526921856912771,0.421976759544113,0.837531026161451,0.861871658215997,0.930839611822532,0.781164026724817,True
940806,0.926921899635769,0.832891041130798,0.46949571263783,0.430584012469695,0.0218074423687323,0.211420526991269,0.430060212267647,0.383031604317892,True
215669,0.581496110570256,0.616898843634991,0.0402047180672351,0.754758578484368,0.424375866625737,0.642488868344685,0.817010972699611,0.0841448522980231,True
655127,0.376724703551004,0.53235371394567,0.205638633655329,0.775522992419774,0.831339015531957,0.594016732038511,0.590833849030093,0.573107070817299,True
95972,0.778269911513182,0.675202580835219,0.509115303534392,0.677433166632498,0.18442693689386,0.418504888944038,0.0203138734779512,0.474234029114646,True
702791,0.995441933273083,0.785527391618415,0.620462196141738,0.175999333811976,0.996398112293275,0.583557948872764,0.799052217591452,0.908916220279188,True
117844,0.88820297881651,0.794708882380415,0.912429215115392,0.421160161917294,0.615201338143361,0.650207381480237,0.0859038531525929,0.496323052587769,True
929124,0.145312706310501,0.782761592480427,0.811398268151673,0.417902932876237,0.42456261590881,0.936014108069181,0.232191605325281,0.824807976243291,True
62958,0.942613594642355,0.752538782940466,0.711829461636773,0.478783084147257,0.0772781824401065,0.674259036456159,0.0657248140768866,0.955508727760694,True
4925,0.0499012352929748,0.898145738157767,0.347228735108468,0.632956863453761,0.833218036107091,0.0969020435099001,0.993768844946815,0.748797373303182,True
533273,0.235671497720469,0.781918162158379,0.381329286944374,0.736620527004417,0.288626749044882,0.143218867441712,0.0320060691675067,0.399096413132493,True
492325,0.674310535688674,0.762176807670526,0.208439308701044,0.686831721219967,0.606041595691738,0.925237055732676,0.997704443576833,0.200869277345656,True
950373,0.826179182236836,0.678126229425367,0.745056906615532,0.507485864235164,0.834001452534938,0.719984005720411,0.58635841781899,0.947850559108192,True
371517,0.251937675247286,0.733041841602195,0.659348342981894,0.757382007809777,0.314590504307569,0.778649861303825,0.22832253579231,0.33469697520403,True
121649,0.200311722793376,0.972825399734306,0.632986685293941,0.356638473769978,0.759630428128467,0.152540878957609,0.998296432517582,0.455788683365805,True
575478,0.632612192347331,0.926909272710816,0.518980149820113,0.729708363436534,0.622177785329751,0.0799895657473548,0.751375717937753,0.0290217802719717,True
596492,0.110697117054117,0.803563979800505,0.758220198565966,0.536303074773937,0.997516963646624,0.544075679437443,0.443354427282013,0.672506623188537,True
206382,0.379256184783962,0.883251300448837,0.297519468800383,0.771992266020544,0.480562943830001,0.0305119868237739,0.526964018142586,0.21756594545516,True
260738,0.068757147157277,0.763833599648026,0.38902482474945,0.82636993871641,0.118454517597637,0.375484509595286,0.828608366105793,0.278515256567502,True
987520,0.0204572300094412,0.853389828363817,0.616478864881637,0.554221350964744,0.0190927597184136,0.229245536164355,0.81325696649793,0.860733237439477,True
549632,0.336104599136298,0.621065077416248,0.546315876768987,0.475722707275203,0.704189563146871,0.9737041037955,0.0772803162726167,0.988802552087392,True
574773,0.266403349275432,0.854007433917176,0.18131900920048,0.719098270392747,0.141908207536129,0.0129193190113097,0.793082177173022,0.389216446108473,True
60498,0.554592722854659,0.743255676857998,0.638438340442418,0.506335850255951,0.0404438310124827,0.987359099410277,0.57671760118604,0.644832140004539,True
798901,0.0481924253784272,0.862499224738955,0.975664810425324,0.638195784574665,0.00580559784289781,0.532130686799509,0.091508160705975,0.000606404152887699,True
472868,0.324552035125674,0.770999744164461,0.390103354615757,0.59805932016298,0.212018830294049,0.841972719112764,0.654214647221331,0.290120329146655,True
883621,0.0147461171691386,0.970235631448893,0.899701070452713,0.353083522990891,0.262292511985197,0.241019059217312,0.728388107396525,0.997025322508229,True
236445,0.351683988682989,0.941264951225865,0.568906713823626,0.623508312328584,0.366442214291058,0.365835760395986,0.875218274653107,0.0308515370681564,True
212305,0.963203562861282,0.682412420016797,0.649186416565854,0.502945981959957,0.534570182825185,0.298965936695884,0.669087639236392,0.427046173571892,True
793815,0.462143966288066,0.653356783650579,0.194558281795371,0.910662115674921,0.571275735618285,0.940754428756329,0.628815275407585,0.0855597258007638,True
721987,0.729982540794667,0.790756026986628,0.730605005237381,0.460678751679953,0.388512409655138,0.951335283267975,0.88465860808812,0.178270692898675,True
189877,0.0159461356250537,0.700435430481779,0.514422084184055,0.743752146246204,0.910369740951089,0.848386889662379,0.781472602351591,0.0572427071087126,True
232276,0.98685701512047,0.838307307274401,0.887616303160005,0.277741847742781,0.336892177831025,0.95964735927832,0.0109551168224488,0.876762720673208,True
217516,0.687923205689081,0.858149904680629,0.895836041934577,0.656486837757415,0.875619559012091,0.707504889251375,0.231570056295252,0.0082201445233841,True
125557,0.112981103931453,0.712762914438761,0.528465996061209,0.687600354616878,0.00223600369115451,0.643711015741955,0.986818488326412,0.810183965698397,True
71299,0.616419685693665,0.782219619252124,0.304526051167741,0.870064623507511,0.861626949779014,0.4162958187245,0.120154114554337,0.0978037449766443,True
270675,0.253684474907753,0.599654540250261,0.431593067280887,0.69877887510562,0.692539172161363,0.997304346949151,0.292897772059811,0.309690950597041,True
529908,0.980484921135411,0.6088966653049,0.374163460482417,0.564680109253724,0.219247692580232,0.473651072696314,0.772902732974864,0.64421531869923,True
867130,0.31760777134795,0.727201205455002,0.379022914443341,0.779674438381292,0.982665537285129,0.362999700911271,0.225752976559111,0.649274729671698,True
61081,0.857044277846077,0.674345160176195,0.280543928781479,0.554176778839717,0.520815918104071,0.506693846778428,0.455114677455395,0.997151350282773,True
644834,0.74846811136935,0.775268429614517,0.532295954693256,0.678172427471774,0.0472778400262097,0.974759400320957,0.309069587383649,0.0792863297336842,True
742821,0.110040890419371,0.697969089645206,0.0941101939837963,0.698054456059,0.267504550672861,0.73937905000105,0.664162486758773,0.951696726583438,True
941832,0.624994910790525,0.794071781382426,0.599263825204333,0.343839000495847,0.297379985444628,0.547405717078567,0.765083955605093,0.534864420721008,True
378993,0.268603992063642,0.675055354007762,0.66375960302463,0.617285528060116,0.0763072692203744,0.405041776761685,0.0749776192363225,0.610772330660488,True
914760,0.345497676786447,0.703692517575495,0.246445212189712,0.842344368279594,0.212473636580225,0.277987649726179,0.569759121277925,0.460990184809135,True
